Wahlkreisname,row,col
123 Gelsenkirchen,9,5
122 Recklinghausen II,9,6
125 Bottrop – Recklinghausen III,9,7
146 Soest,9,8
067 Börde – Jerichower Land,10,13
052 Goslar – Northeim – Osterode,10,12
053 Göttingen,10,11
084 Berlin-Treptow-Köpenick,10,17
062 Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,10,16
060 Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,10,14
061 Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,10,15
137 Paderborn,10,9
136 Höxter – Gütersloh III – Lippe II,10,10
142 Dortmund I,10,8
141 Herne – Bochum II,10,7
121 Recklinghausen I,10,6
117 Oberhausen – Wesel III,10,5
116 Duisburg II,10,4
110 Krefeld I – Neuss II,10,3
109 Mönchengladbach,10,2
068 Harz,11,12
069 Magdeburg,11,13
071 Anhalt,11,14
070 Dessau – Wittenberg,11,15
064 Cottbus – Spree-Neiße,11,17
065 Elbe-Elster – Oberspreewald-Lausitz II,11,16
145 Hamm – Unna II,11,10
147 Hochsauerlandkreis,11,11
108 Neuss I,11,1
106 Düsseldorf I,11,2
107 Düsseldorf II,11,3
118 Mülheim – Essen I,11,4
119 Essen II,11,5
139 Ennepe-Ruhr-Kreis II,11,6
140 Bochum I,11,7
143 Dortmund II,11,8
144 Unna I,11,9
089 Heinsberg,12,1
074 Mansfeld,12,12
072 Halle,12,13
157 Görlitz,12,18
156 Bautzen I,12,17
155 Meißen,12,16
151 Nordsachsen,12,15
152 Leipzig I,12,14
148 Siegen-Wittgenstein,12,9
150 Märkischer Kreis II,12,8
138 Hagen – Ennepe-Ruhr-Kreis I,12,7
120 Essen III,12,6
102 Wuppertal I,12,5
104 Mettmann I,12,4
105 Mettmann II,12,3
091 Rhein-Erft-Kreis I,12,2
190 Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,12,10
189 Eichsfeld – Nordhausen – Kyffhäuserkreis,12,11
088 Aachen II,13,2
073 Burgenland – Saalekreis,13,12
153 Leipzig II,13,14
154 Leipzig-Land,13,15
159 Dresden I,13,16
160 Dresden II – Bautzen II,13,17
163 Chemnitzer Umland – Erzgebirgskreis II,13,13
090 Düren,13,3
095 Köln III,13,4
101 Leverkusen – Köln IV,13,5
103 Solingen – Remscheid – Wuppertal II,13,6
149 Olpe – Märkischer Kreis I,13,7
191 Jena – Sömmerda – Weimarer Land I,13,11
193 Erfurt – Weimar – Weimarer Land II,13,10
167 Waldeck,13,8
168 Kassel,13,9
087 Aachen I,13,1
158 Sächsische Schweiz-Osterzgebirge,14,16
161 Mittelsachsen,14,15
162 Chemnitz,14,13
100 Rheinisch-Bergischer Kreis,14,5
093 Köln I,14,4
094 Köln II,14,3
092 Euskirchen – Rhein-Erft-Kreis II,14,2
194 Gera – Greiz – Altenburger Land,14,11
195 Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,14,10
192 Gotha – Ilm-Kreis,14,9
169 Werra-Meißner – Hersfeld-Rotenburg,14,8
170 Schwalm-Eder,14,7
171 Marburg,14,6
164 Erzgebirgskreis I,14,14
238 Coburg,14,12
196 Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,15,10
166 Vogtlandkreis,15,14
098 Rhein-Sieg-Kreis II,15,2
096 Bonn,15,3
097 Rhein-Sieg-Kreis I,15,4
099 Oberbergischer Kreis,15,5
172 Lahn-Dill,15,6
173 Gießen,15,7
174 Fulda,15,8
239 Hof,15,12
175 Main-Kinzig – Wetterau II – Schotten,15,9
248 Bad Kissingen,15,11
165 Zwickau,15,13
180 Hanau,16,9
177 Wetterau I,16,8
176 Hochtaunus,16,7
178 Rheingau-Taunus – Limburg,16,6
204 Montabaur,16,5
197 Neuwied,16,4
198 Ahrweiler,16,3
247 Aschaffenburg,16,10
249 Main-Spessart,16,11
240 Kulmbach,16,13
236 Bamberg,16,12
202 Bitburg,16,2
235 Weiden,17,13
183 Frankfurt am Main II,17,9
182 Frankfurt am Main I,17,8
181 Main-Taunus,17,7
179 Wiesbaden,17,6
200 Mosel/Rhein-Hunsrück,17,3
199 Koblenz,17,4
205 Mainz,17,5
237 Bayreuth,17,12
250 Schweinfurt,17,11
251 Würzburg,17,10
203 Trier,17,2
184 Groß-Gerau,18,7
185 Offenbach,18,8
206 Worms,18,5
209 Kaiserslautern,18,4
201 Kreuznach,18,3
243 Fürth,18,9
242 Erlangen,18,10
244 Nürnberg-Nord,18,11
232 Amberg,18,12
234 Schwandorf,18,13
297 Saarlouis,18,2
186 Darmstadt,18,6
275 Mannheim,19,6
187 Odenwald,19,7
207 Ludwigshafen/Frankenthal,19,5
298 St. Wendel,19,3
208 Neustadt – Speyer,19,4
188 Bergstraße,19,8
276 Odenwald – Tauber,19,9
233 Regensburg,19,13
246 Roth,19,12
245 Nürnberg-Süd,19,11
241 Ansbach,19,10
296 Saarbrücken,19,2
274 Heidelberg,20,8
299 Homburg,20,3
210 Pirmasens,20,4
277 Rhein-Neckar,20,6
267 Heilbronn,20,7
254 Donau-Ries,20,10
268 Schwäbisch Hall – Hohenlohe,20,9
216 Ingolstadt,20,11
228 Landshut,20,12
231 Straubing,20,13
278 Bruchsal – Schwetzingen,20,5
227 Deggendorf,21,14
211 Südpfalz,21,4
264 Waiblingen,21,7
266 Neckar-Zaber,21,6
255 Neu-Ulm,21,9
270 Aalen – Heidenheim,21,8
271 Karlsruhe-Stadt,21,5
215 Fürstenfeldbruck,21,10
214 Freising,21,11
230 Rottal-Inn,21,13
213 Erding – Ebersberg,21,12
212 Altötting,22,13
252 Augsburg-Stadt,22,9
272 Karlsruhe-Land,22,5
265 Ludwigsburg,22,6
269 Backnang – Schwäbisch Gmünd,22,7
263 Göppingen,22,8
273 Rastatt,22,4
220 München-West/Mitte,22,10
217 München-Nord,22,11
218 München-Ost,22,12
229 Passau,22,14
259 Stuttgart II,23,8
258 Stuttgart I,23,7
260 Böblingen,23,6
279 Pforzheim,23,5
224 Starnberg – Landsberg am Lech,23,11
284 Offenburg,23,4
223 Bad Tölz-Wolfratshausen – Miesbach,23,13
222 Rosenheim,23,14
219 München-Süd,23,12
292 Biberach,23,9
253 Augsburg-Land,23,10
221 München-Land,24,12
225 Traunstein,24,14
261 Esslingen,24,8
262 Nürtingen,24,7
290 Tübingen,24,6
280 Calw,24,5
283 Emmendingen – Lahr,24,4
281 Freiburg,24,3
257 Ostallgäu,24,11
295 Zollernalb – Sigmaringen,24,9
226 Weilheim,24,13
294 Ravensburg,24,10
291 Ulm,25,9
286 Schwarzwald-Baar,25,5
285 Rottweil – Tuttlingen,25,6
289 Reutlingen,25,7
282 Lörrach – Müllheim,25,3
288 Waldshut,25,4
256 Oberallgäu,25,11
287 Konstanz,25,8
293 Bodensee,25,10
